match_id,stage,team_a_sql,team_b_sql,old_utc,old_google_tz,serpapi_found,google_local,new_utc,delta_minutes,serpapi_team_a,serpapi_team_b,stadium,query
M069,group,Cabo Verde,Arabia Saudita,2026-06-27T02:00:00+00:00,2026-06-26T20:00:00-06:00,yes,2026-06-26T18:00:00-06:00,2026-06-27T00:00:00+00:00,-120,Cape Verde,Saudi Arabia,NRG Stadium,Cabo Verde vs Arabia Saudita FIFA World Cup 2026 kickoff time
M070,group,Uruguay,España,2026-06-27T02:00:00+00:00,2026-06-26T20:00:00-06:00,no,,,,,,,Uruguay vs España FIFA World Cup 2026 kickoff time
M071,group,Argelia,Austria,2026-06-28T04:00:00+00:00,2026-06-27T22:00:00-06:00,no,,,,,,,Argelia vs Austria FIFA World Cup 2026 kickoff time
M072,group,Jordania,Argentina,2026-06-28T04:00:00+00:00,2026-06-27T22:00:00-06:00,yes,2026-06-27T20:00:00-06:00,2026-06-28T02:00:00+00:00,-120,Jordan,Argentina,AT&T Stadium,Jordania vs Argentina FIFA World Cup 2026 kickoff time
M073,round_of_32,TBD,TBD,2026-06-28T23:00:00+00:00,2026-06-28T17:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 73 round of 32 kickoff time
M074,round_of_32,TBD,TBD,2026-06-29T19:00:00+00:00,2026-06-29T13:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 74 round of 32 kickoff time
M075,round_of_32,TBD,TBD,2026-06-29T22:30:00+00:00,2026-06-29T16:30:00-06:00,no,,,,,,,FIFA World Cup 2026 match 75 round of 32 kickoff time
M076,round_of_32,TBD,TBD,2026-06-30T03:00:00+00:00,2026-06-29T21:00:00-06:00,yes,2026-06-11T12:00:00-06:00,2026-06-11T18:00:00+00:00,-26460,Mexico,South Africa,,FIFA World Cup 2026 match 76 round of 32 kickoff time
M077,round_of_32,TBD,TBD,2026-06-30T19:00:00+00:00,2026-06-30T13:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 77 round of 32 kickoff time
M078,round_of_32,TBD,TBD,2026-06-30T22:00:00+00:00,2026-06-30T16:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 78 round of 32 kickoff time
